protocol,num_cycles,mean,median,stddev,cv,max,min,q1,q3
capnp_publish,1,6.486734400619967,6.492941500570472,0.07749506476766359,0.011946699214362321,6.623264610816683,6.33329960383601,6.436109414189677,6.523621906997291
proto2_publish,1,5.679051565229083,5.669406799721024,0.06353044828625182,0.011186806028532533,5.851687872263707,5.585314247613225,5.630791654435637,5.710008040032868
proto3_publish,1,5.495837797655899,5.48866933593519,0.04960344799163978,0.00902563900499334,5.638382637916795,5.430013124185275,5.465124885566422,5.52897162969163
proto3_arena_publish,1,5.517809155183425,5.504569971919036,0.08812025458968442,0.01597015266591893,5.79193459151871,5.383205716711319,5.476562523776692,5.560178845470436
upb_publish,1,5.644317599839925,5.650053542800995,0.039845427670135596,0.0070593879535172915,5.714818806846304,5.547156472158877,5.625443516242321,5.664896549701223
nanopb_publish,1,35.1018607274399,35.0590350831211,0.19242001531006425,0.005481761118140535,35.475164192366826,34.78184567675084,34.96166189466013,35.271376444249974
flatbuf_publish,1,6.699388704047973,6.691805742333177,0.07200689342062204,0.010748278179039427,6.809456399737569,6.560164004053154,6.649666097697772,6.756833428565951
ros2_publish,1,4.892332935048871,4.888970767763144,0.0757029911704692,0.0154738020031568,5.020446522883241,4.740213127763217,4.845287594332737,4.948845810522861
capnp_publish,10,22.461694300407313,22.478688323371284,0.1708681160345154,0.007607089373993349,22.794083339902645,22.078512345986766,22.383357799821727,22.578732317717414
proto2_publish,10,23.598394977591838,23.59318302903607,0.21382128417415436,0.00906084012820326,23.955291963396864,23.22193401480064,23.409273297965633,23.80719031516272
proto3_publish,10,22.085144831618862,21.997198296026518,0.2132931546598908,0.009657765719268603,22.459613270523217,21.77688905356456,21.92885613743413,22.25446067482681
proto3_arena_publish,10,19.802294219716693,19.788713716014815,0.33747738746172246,0.017042337807793195,20.926715927940485,19.187755732133756,19.58428608534878,20.02437531451975
upb_publish,10,22.747619949326253,22.76230647311331,0.14521630210178027,0.006383802016442662,22.955180504046687,22.295482440090392,22.71588956934231,22.826071874829108
nanopb_publish,10,62.40382990054769,62.367711610030675,0.288721485780587,0.004626662918617644,62.82460534355777,61.81563535078709,62.1900258219679,62.66719316932129
flatbuf_publish,10,30.51457576277652,30.639290428169986,0.42672856506050544,0.013984417426541912,31.15934245616599,29.81649393870841,30.12607335176879,30.88946637813418
ros2_publish,10,24.46636950980035,24.535029428685526,0.47625167791086126,0.019465563851641002,25.569257380542602,23.842238387333655,23.970814859567263,24.835705653750573
capnp_publish,100,205.90964760922776,205.60987643463005,2.732099920635353,0.013268440562922488,211.40456708362737,201.41920358324117,203.57711216803128,208.20283957599406
proto2_publish,100,188.46246737316562,188.56197470900403,2.2123882340772605,0.011739145013402669,191.34755663293174,184.7136095477946,186.00951178802106,190.55598699896905
proto3_publish,100,174.07313591412637,174.68957903336693,1.8813403489338956,0.010807758124504616,176.4476751831563,168.8653454020302,174.07475923925472,174.9999377764296
proto3_arena_publish,100,151.8842411759852,151.71321010692256,1.6698466896882087,0.010994206355835107,154.92162098797328,149.66250235862447,150.35902337442815,153.3308121565212
