2023-09-14T18:41:02+00:00
Running /home/user/.cache/bazel/_bazel_user/4af1888b2a00e7e112b8fd98a09cf110/execroot/__main__/bazel-out/k8-fastbuild/bin/src/main
Run on (16 X 399.437 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 18432 KiB (x1)
Load Average: 7.85, 6.05, 2.63
***WARNING*** Library was built as DEBUG. Timings may be affected.
------------------------------------------------------------------------------
Benchmark                                    Time             CPU   Iterations
------------------------------------------------------------------------------
BM_capnp_publish/1                        6.49 us         6.49 us       111188
BM_capnp_publish/1                        6.48 us         6.48 us       111188
BM_capnp_publish/1                        6.51 us         6.51 us       111188
BM_capnp_publish/1                        6.52 us         6.51 us       111188
BM_capnp_publish/1                        6.41 us         6.41 us       111188
BM_capnp_publish/1                        6.45 us         6.44 us       111188
BM_capnp_publish/1                        6.33 us         6.33 us       111188
BM_capnp_publish/1                        6.59 us         6.59 us       111188
BM_capnp_publish/1                        6.52 us         6.52 us       111188
BM_capnp_publish/1                        6.46 us         6.46 us       111188
BM_capnp_publish/1                        6.44 us         6.44 us       111188
BM_capnp_publish/1                        6.38 us         6.37 us       111188
BM_capnp_publish/1                        6.51 us         6.51 us       111188
BM_capnp_publish/1                        6.60 us         6.59 us       111188
BM_capnp_publish/1                        6.56 us         6.56 us       111188
BM_capnp_publish/1                        6.62 us         6.62 us       111188
BM_capnp_publish/1                        6.50 us         6.50 us       111188
BM_capnp_publish/1                        6.45 us         6.45 us       111188
BM_capnp_publish/1                        6.41 us         6.40 us       111188
BM_capnp_publish/1                        6.60 us         6.60 us       111188
BM_capnp_publish/1                        6.35 us         6.35 us       111188
BM_capnp_publish/1                        6.42 us         6.42 us       111188
BM_capnp_publish/1                        6.56 us         6.56 us       111188
BM_capnp_publish/1                        6.52 us         6.52 us       111188
BM_capnp_publish/1                        6.49 us         6.49 us       111188
BM_capnp_publish/1_mean                   6.49 us         6.49 us           25
BM_capnp_publish/1_median                 6.49 us         6.49 us           25
BM_capnp_publish/1_stddev                0.077 us        0.077 us           25
BM_capnp_publish/1_cv                     1.19 %          1.19 %            25
BM_capnp_publish/1_max                    6.62 us         6.62 us           25
BM_capnp_publish/1_min                    6.33 us         6.33 us           25
BM_capnp_publish/1_q1                     6.44 us         6.44 us           25
BM_capnp_publish/1_q3                     6.52 us         6.52 us           25
BM_capnp_publish/10                       22.5 us         22.5 us        31007
BM_capnp_publish/10                       22.4 us         22.4 us        31007
BM_capnp_publish/10                       22.4 us         22.4 us        31007
BM_capnp_publish/10                       22.5 us         22.5 us        31007
BM_capnp_publish/10                       22.4 us         22.4 us        31007
BM_capnp_publish/10                       22.2 us         22.2 us        31007
BM_capnp_publish/10                       22.5 us         22.5 us        31007
BM_capnp_publish/10                       22.1 us         22.1 us        31007
BM_capnp_publish/10                       22.4 us         22.4 us        31007
BM_capnp_publish/10                       22.5 us         22.5 us        31007
BM_capnp_publish/10                       22.7 us         22.7 us        31007
BM_capnp_publish/10                       22.6 us         22.6 us        31007
BM_capnp_publish/10                       22.8 us         22.8 us        31007
BM_capnp_publish/10                       22.6 us         22.6 us        31007
BM_capnp_publish/10                       22.7 us         22.7 us        31007
BM_capnp_publish/10                       22.6 us         22.6 us        31007
BM_capnp_publish/10                       22.6 us         22.6 us        31007
BM_capnp_publish/10                       22.5 us         22.5 us        31007
BM_capnp_publish/10                       22.1 us         22.1 us        31007
BM_capnp_publish/10                       22.4 us         22.4 us        31007
BM_capnp_publish/10                       22.4 us         22.4 us        31007
BM_capnp_publish/10                       22.3 us         22.3 us        31007
BM_capnp_publish/10                       22.4 us         22.4 us        31007
BM_capnp_publish/10                       22.5 us         22.5 us        31007
BM_capnp_publish/10                       22.4 us         22.4 us        31007
BM_capnp_publish/10_mean                  22.5 us         22.5 us           25
BM_capnp_publish/10_median                22.5 us         22.5 us           25
BM_capnp_publish/10_stddev               0.171 us        0.171 us           25
BM_capnp_publish/10_cv                    0.76 %          0.76 %            25
BM_capnp_publish/10_max                   22.8 us         22.8 us           25
BM_capnp_publish/10_min                   22.1 us         22.1 us           25
BM_capnp_publish/10_q1                    22.4 us         22.4 us           25
BM_capnp_publish/10_q3                    22.6 us         22.6 us           25
BM_capnp_publish/100                       203 us          203 us         3515
BM_capnp_publish/100                       208 us          208 us         3515
BM_capnp_publish/100                       211 us          211 us         3515
BM_capnp_publish/100                       205 us          205 us         3515
BM_capnp_publish/100                       203 us          203 us         3515
BM_capnp_publish/100                       207 us          207 us         3515
BM_capnp_publish/100                       207 us          207 us         3515
BM_capnp_publish/100                       206 us          206 us         3515
BM_capnp_publish/100                       208 us          208 us         3515
BM_capnp_publish/100                       208 us          208 us         3515
BM_capnp_publish/100                       209 us          209 us         3515
BM_capnp_publish/100                       210 us          210 us         3515
BM_capnp_publish/100                       209 us          209 us         3515
BM_capnp_publish/100                       209 us          209 us         3515
BM_capnp_publish/100                       204 us          204 us         3515
BM_capnp_publish/100                       206 us          206 us         3515
BM_capnp_publish/100                       206 us          206 us         3515
BM_capnp_publish/100                       203 us          203 us         3515
BM_capnp_publish/100                       202 us          202 us         3515
BM_capnp_publish/100                       203 us          203 us         3515
BM_capnp_publish/100                       204 us          204 us         3515
BM_capnp_publish/100                       204 us          204 us         3515
BM_capnp_publish/100                       207 us          207 us         3515
BM_capnp_publish/100                       201 us          201 us         3515
BM_capnp_publish/100                       204 us          204 us         3515
BM_capnp_publish/100_mean                  206 us          206 us           25
BM_capnp_publish/100_median                206 us          206 us           25
BM_capnp_publish/100_stddev               2.73 us         2.73 us           25
BM_capnp_publish/100_cv                   1.33 %          1.32 %            25
BM_capnp_publish/100_max                   211 us          211 us           25
BM_capnp_publish/100_min                   201 us          201 us           25
BM_capnp_publish/100_q1                    204 us          204 us           25
BM_capnp_publish/100_q3                    208 us          208 us           25
BM_capnp_publish/1000                     2148 us         2148 us          326
BM_capnp_publish/1000                     2146 us         2146 us          326
BM_capnp_publish/1000                     2146 us         2146 us          326
BM_capnp_publish/1000                     2143 us         2143 us          326
BM_capnp_publish/1000                     2149 us         2149 us          326
BM_capnp_publish/1000                     2174 us         2174 us          326
BM_capnp_publish/1000                     2222 us         2221 us          326
BM_capnp_publish/1000                     2215 us         2214 us          326
BM_capnp_publish/1000                     2221 us         2220 us          326
BM_capnp_publish/1000                     2217 us         2216 us          326
BM_capnp_publish/1000                     2213 us         2212 us          326
BM_capnp_publish/1000                     2214 us         2213 us          326
BM_capnp_publish/1000                     2218 us         2218 us          326
BM_capnp_publish/1000                     2216 us         2215 us          326
BM_capnp_publish/1000                     2170 us         2169 us          326
BM_capnp_publish/1000                     2126 us         2125 us          326
BM_capnp_publish/1000                     2146 us         2145 us          326
BM_capnp_publish/1000                     2150 us         2150 us          326
BM_capnp_publish/1000                     2142 us         2142 us          326
BM_capnp_publish/1000                     2147 us         2146 us          326
BM_capnp_publish/1000                     2149 us         2149 us          326
BM_capnp_publish/1000                     2146 us         2146 us          326
BM_capnp_publish/1000                     2145 us         2144 us          326
BM_capnp_publish/1000                     2153 us         2153 us          326
BM_capnp_publish/1000                     2156 us         2155 us          326
BM_capnp_publish/1000_mean                2171 us         2170 us           25
BM_capnp_publish/1000_median              2150 us         2150 us           25
BM_capnp_publish/1000_stddev              33.5 us         33.2 us           25
BM_capnp_publish/1000_cv                  1.54 %          1.53 %            25
BM_capnp_publish/1000_max                 2222 us         2221 us           25
BM_capnp_publish/1000_min                 2126 us         2125 us           25
BM_capnp_publish/1000_q1                  2146 us         2146 us           25
BM_capnp_publish/1000_q3                  2214 us         2213 us           25
BM_capnp_publish/5000                    10908 us        10903 us           65
BM_capnp_publish/5000                    11108 us        11104 us           65
BM_capnp_publish/5000                    11077 us        11072 us           65
BM_capnp_publish/5000                    11075 us        11070 us           65
BM_capnp_publish/5000                    11092 us        11088 us           65
BM_capnp_publish/5000                    11096 us        11092 us           65
BM_capnp_publish/5000                    11074 us        11069 us           65
BM_capnp_publish/5000                    10839 us        10838 us           65
